"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","183.9","176.9","164.2","144.0","138.8","132.3","143.8","127.6","104.7","111.3","98.6","87.7","80.9","79.8","No data","No data"
"Albania","773.7","779.3","665.7","612.8","570.9","481.1","444.9","452.6","437.8","381.5","363.8","347.8","310.0","293.4","275.3","258.1"
"Algeria","1031.2","929.1","828.0","804.4","684.3","645.3","656.1","511.0","452.6","380.2","354.9","360.7","346.4","332.4","323.0","282.4"
"Andorra","5948.6","5810.8","6513.8","5312.5","4856.1","4819.4","4787.4","4727.1","4769.1","4577.4","4271.1","3751.0","3554.0","3394.6","3143.0","3049.0"
"Angola","195.5","184.6","191.6","162.8","168.1","158.3","205.0","201.0","164.9","152.1","139.8","149.5","127.8","111.2","149.0","69.6"
"Antigua and Barbuda","1105.1","1205.4","1031.7","990.2","1065.9","1041.5","957.8","1059.6","957.8","883.1","773.2","679.3","685.7","623.4","622.8","578.0"
"Argentina","1389.8","1268.3","1287.7","1225.5","1244.5","1238.0","1162.7","1109.7","1082.2","976.8","880.5","727.3","722.8","523.2","641.4","644.0"
"Armenia","883.2","591.3","661.4","513.4","265.2","345.7","296.5","315.6","359.7","313.4","335.5","331.7","198.2","171.9","170.8","150.8"
"Australia","4491.6","4287.2","4179.7","3792.1","3770.4","3593.1","3556.5","3295.6","3178.2","3005.2","2833.3","2743.6","2549.2","2429.0","2272.1","2152.6"
"Austria","5138.2","5025.4","4881.0","4696.0","4392.2","4243.9","4132.4","3962.4","3716.3","3557.7","3351.8","3257.8","3073.3","2935.8","2768.0","2705.1"
"Azerbaijan","1191.3","998.8","930.7","839.8","756.9","768.7","805.6","548.6","578.8","555.7","521.4","400.8","291.8","161.4","144.1","134.3"
"Bahamas","1699.1","1704.1","1732.3","1790.1","1733.0","1670.4","1657.2","1701.9","1667.9","1590.3","1325.8","1270.8","1174.3","1130.4","1073.4","1045.8"
"Bahrain","2453.2","2164.6","1902.2","1714.6","1239.2","1306.4","1359.9","1156.4","1160.5","1128.4","1140.8","1184.3","1292.5","1324.1","1306.7","1219.5"
"Bangladesh","88.0","83.2","77.9","75.8","71.0","64.2","58.0","53.8","51.8","46.3","41.8","37.4","34.5","32.4","28.6","27.6"
"Barbados","1233.6","1239.2","1293.9","1304.9","1140.4","1042.3","1038.8","1047.0","946.9","906.8","846.4","834.2","794.6","669.1","617.6","598.4"
"Belarus","1084.6","995.2","1017.0","915.4","774.0","809.7","774.4","763.4","728.3","637.1","609.1","506.8","442.4","392.2","370.6","318.7"
"Belgium","4782.4","4660.7","4508.8","4313.8","4158.2","3980.0","3831.7","3561.5","3298.6","3158.5","3007.6","2938.5","2822.9","2518.9","2352.5","2221.1"
"Belize","523.7","487.9","471.5","442.2","441.7","448.8","436.0","385.4","366.3","327.9","311.3","294.7","290.9","259.5","258.5","217.6"
"Benin","84.5","76.8","78.2","88.2","77.3","73.3","68.5","65.4","67.4","65.6","62.2","63.9","60.7","59.5","61.9","56.4"
"Bhutan","287.1","245.7","244.6","227.8","205.0","200.0","184.2","160.6","162.4","142.7","135.3","138.7","129.5","120.9","121.7","116.2"
"Bolivia (Plurinational State of)","445.8","384.9","348.2","302.4","283.5","270.0","259.6","225.9","216.3","203.5","207.5","189.4","192.6","175.0","168.9","151.2"
"Bosnia and Herzegovina","1101.8","1072.0","1026.6","966.4","908.8","842.5","814.6","858.9","756.7","657.0","570.2","539.2","435.7","361.5","342.4","325.1"
"Botswana","970.0","890.4","864.2","923.7","856.5","784.3","816.1","756.1","652.1","567.8","542.8","603.9","538.8","419.8","548.9","480.1"
"Brazil","1391.5","1365.3","1275.6","1203.5","1170.5","1135.9","1112.4","1063.9","1026.5","958.5","880.7","849.9","795.1","827.9","789.8","754.6"
"Brunei Darussalam","2083.4","1732.7","1735.8","1545.5","1536.8","1798.1","2040.9","1635.6","1712.7","1656.8","1828.5","2047.5","2057.1","1944.8","1889.6","1836.0"
"Bulgaria","1491.9","1477.1","1303.1","1226.9","1116.6","1059.5","933.7","898.3","785.3","741.3","706.4","631.6","602.9","549.1","470.4","373.2"
"Burkina Faso","96.1","94.2","99.4","75.8","76.6","82.2","74.8","68.2","73.3","60.6","50.1","49.1","35.1","31.1","29.6","28.3"
"Burundi","63.7","54.6","63.8","64.6","76.3","84.6","79.1","68.5","71.7","70.0","60.9","46.3","38.0","40.4","39.4","40.4"
"Cabo Verde","310.4","313.3","271.8","282.5","258.0","255.6","218.2","204.6","222.4","227.7","198.2","184.1","168.2","170.1","161.9","147.3"
"Cambodia","209.6","203.3","209.2","207.7","199.5","171.3","177.5","155.5","107.7","117.0","123.7","119.4","105.8","84.4","77.6","69.8"
"Cameroon","162.8","151.2","143.5","139.3","100.9","129.7","123.2","127.5","114.2","107.5","105.2","102.2","103.8","98.6","93.2","85.9"
"Canada","4600.1","4499.0","4453.4","4290.0","4223.8","4207.7","4082.3","3794.2","3652.7","3491.7","3277.9","3075.1","2915.1","2745.8","2607.8","2417.9"
"Central African Republic","31.9","29.8","27.2","35.2","34.8","33.1","36.8","36.4","39.9","32.6","32.6","27.5","27.7","24.1","22.3","22.8"
"Chad","99.8","100.0","99.9","71.7","73.0","76.8","75.6","68.0","71.6","78.1","77.6","85.1","64.4","75.5","51.9","48.6"
"Chile","1903.1","1774.1","1677.7","1517.9","1384.0","1243.7","1172.8","1107.0","1041.3","942.2","841.7","812.8","789.9","748.3","715.2","676.0"
"China","762.2","658.0","592.5","535.0","468.4","407.0","380.5","320.6","271.9","243.4","217.8","194.8","179.4","159.9","138.9","130.0"
"Colombia","852.8","856.0","765.4","735.9","683.1","656.2","655.9","611.0","557.2","513.6","451.3","394.8","404.1","368.3","375.2","360.5"
"Comoros","121.0","121.4","123.3","120.1","134.0","121.1","119.9","124.4","129.1","130.9","131.8","129.0","130.7","135.6","131.2","142.3"
"Congo","202.7","142.2","132.2","107.5","99.0","102.9","102.9","99.6","86.8","79.8","79.2","82.4","80.2","71.1","87.1","60.2"
"Cook Islands","518.2","561.2","538.5","547.6","557.2","530.9","537.9","496.8","545.8","507.1","522.6","466.7","424.0","420.5","398.5","365.5"
"Costa Rica","1286.5","1237.5","1204.6","1149.5","1131.0","1031.2","957.5","925.3","823.2","745.4","656.8","617.2","614.1","577.2","522.5","512.2"
"Côte d'Ivoire","189.6","167.3","151.2","164.7","151.9","162.0","162.6","157.2","156.9","142.3","127.8","120.8","105.4","102.8","113.7","132.5"
"Croatia","1656.4","1643.2","1580.2","1644.5","1612.7","1601.7","1635.0","1604.3","1442.8","1216.5","1056.8","955.3","860.9","784.1","838.4","810.6"
"Cuba","2478.8","2196.6","1710.6","1639.0","2236.2","2118.9","1625.1","1697.2","1494.0","1208.2","1274.3","754.6","723.0","685.6","656.4","574.3"
"Cyprus","2136.8","2059.9","2106.2","2138.7","2216.9","2116.6","2223.7","2124.0","1725.3","1607.4","1478.5","1380.4","1349.7","1330.6","1231.7","1135.8"
"Czechia","2469.9","2481.6","2381.7","2042.6","2011.0","1922.8","2018.4","1777.9","1577.9","1476.1","1402.7","1329.3","1273.4","1127.1","1034.4","922.9"
"Democratic People's Republic of Korea","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Democratic Republic of the Congo","34.0","33.2","27.5","23.8","22.2","24.1","29.6","22.0","17.9","16.1","14.7","14.7","13.3","10.6","10.8","6.0"
"Denmark","5083.2","4924.2","4786.7","4610.2","4535.8","4480.5","4319.5","3938.9","3642.0","3427.7","3109.1","2970.1","2744.5","2670.2","2498.2","2325.3"
"Djibouti","146.7","130.6","122.0","131.5","128.2","108.0","109.4","106.2","108.8","104.6","91.1","89.6","103.0","89.7","68.6","70.3"
"Dominica","585.7","564.2","522.8","547.3","470.4","505.7","487.4","460.0","431.2","385.5","361.4","330.8","332.8","312.3","307.3","303.0"
"Dominican Republic","873.1","799.9","728.5","689.2","642.1","608.4","512.4","474.3","406.9","372.1","361.5","310.5","293.0","303.4","277.6","263.7"
"Ecuador","980.2","994.4","942.0","881.0","770.8","688.9","591.1","542.3","490.6","461.3","427.5","398.0","355.6","283.6","228.8","194.2"
"Egypt","495.2","491.0","476.5","460.3","450.1","421.6","426.0","419.6","389.1","392.3","368.6","343.6","352.1","359.6","345.5","303.1"
"El Salvador","578.5","551.8","546.7","514.2","505.7","494.5","478.3","447.7","442.7","440.8","445.3","424.7","408.7","413.2","407.8","402.9"
"Equatorial Guinea","789.6","583.3","584.5","524.2","463.5","506.2","632.6","507.1","494.0","435.7","205.4","271.2","237.6","186.0","347.4","255.0"
"Eritrea","56.2","56.6","53.2","53.5","51.2","51.0","54.7","62.0","60.2","76.5","77.0","76.4","79.2","79.7","76.1","75.1"
"Estonia","1886.8","1774.3","1653.7","1516.3","1429.0","1369.7","1342.8","1303.6","1104.1","947.8","818.6","734.8","638.3","548.6","494.4","486.2"
"Eswatini","628.9","607.6","592.9","568.0","615.1","614.3","504.8","516.5","431.3","410.7","359.3","299.5","277.8","238.4","226.6","223.5"
"Ethiopia","65.6","60.5","55.9","57.3","52.4","57.9","41.8","38.0","38.8","30.6","26.8","25.0","25.0","24.8","24.9","21.4"
"Fiji","331.4","322.1","286.2","272.8","254.9","266.6","267.3","244.7","257.4","250.1","233.3","225.5","190.6","185.9","173.1","196.2"
"Finland","3996.4","3938.8","3923.3","3774.1","3640.6","3442.2","3359.6","3231.2","2949.5","2752.2","2558.9","2426.1","2220.9","2102.3","1944.3","1827.6"
"France","4542.3","4478.7","4345.9","4100.0","4039.9","3881.4","3778.0","3571.9","3421.7","3289.4","3135.4","2972.8","2854.7","2876.4","2691.9","2514.1"
"Gabon","480.9","445.0","485.2","398.4","406.5","372.5","493.4","374.8","443.0","424.4","420.8","474.9","499.7","457.7","461.2","408.7"
"Gambia","114.1","115.4","101.7","98.1","95.2","93.0","89.8","88.4","81.8","75.9","67.5","60.6","55.1","46.4","48.3","44.8"
"Georgia","717.7","725.8","669.3","625.8","570.3","584.3","552.5","496.8","414.9","364.6","338.9","297.0","268.1","228.6","193.6","179.3"
"Germany","5356.8","5204.5","4965.4","4707.4","4588.5","4413.0","4213.9","3936.1","3695.5","3521.5","3330.6","3226.5","3143.6","3001.6","2847.2","2708.9"
"Ghana","249.3","225.4","227.2","202.0","207.4","195.4","183.1","175.1","156.0","149.1","232.6","176.4","165.9","157.6","168.7","148.6"
"Greece","2204.4","2094.3","2169.8","2210.7","2374.3","2696.9","2881.1","2899.6","2655.9","2561.9","2304.7","2021.8","1959.0","1864.4","1682.5","1416.7"
"Grenada","677.5","667.9","654.8","651.8","684.7","671.4","658.1","667.7","644.9","608.9","558.1","466.1","465.8","461.0","410.1","390.2"
"Guatemala","443.9","467.2","450.9","440.1","422.5","421.7","427.2","425.1","424.3","410.7","369.9","361.1","352.4","338.0","330.7","249.4"
"Guinea","57.2","55.1","59.5","57.4","61.6","52.0","49.6","50.3","51.6","47.0","48.2","47.5","50.0","58.5","48.8","44.7"
"Guinea-Bissau","100.3","100.3","76.1","74.2","80.1","84.2","67.6","89.2","86.4","78.8","74.6","77.6","62.0","54.2","67.3","76.7"
"Guyana","336.1","373.2","344.4","314.8","301.3","265.6","249.2","216.5","201.4","180.7","223.8","208.2","201.0","187.1","172.5","156.7"
"Haiti","120.1","125.1","122.0","162.8","166.2","150.4","135.6","116.9","102.2","79.4","76.6","78.7","79.5","81.9","90.6","95.2"
"Honduras","353.4","347.2","355.9","355.3","309.2","320.1","320.9","318.5","293.6","265.1","238.3","206.4","195.1","172.2","159.7","165.1"
"Hungary","1912.1","1820.1","1774.7","1722.3","1720.5","1620.2","1497.2","1467.8","1372.3","1428.5","1364.6","1260.7","1253.9","1032.8","902.9","802.1"
"Iceland","4116.2","3894.1","3710.7","3518.6","3410.5","3383.7","3711.1","3697.1","3553.5","3447.6","3415.8","3366.6","3257.3","3086.0","2807.2","2657.4"
"India","237.7","205.8","197.1","163.7","150.5","145.6","140.9","131.9","126.4","115.3","108.5","102.0","94.7","92.6","89.8","80.7"
"Indonesia","369.3","362.6","336.4","318.0","295.4","285.3","220.7","210.2","215.9","186.4","167.6","130.5","129.9","108.1","107.6","92.3"
"Iran (Islamic Republic of)","1261.7","1222.6","1034.5","1135.1","1196.0","1201.0","1088.4","863.9","811.7","760.7","718.8","651.3","594.9","504.4","509.0","454.9"
"Iraq","481.0","440.0","438.9","400.7","370.2","402.5","448.6","356.3","338.8","260.2","281.1","355.1","181.7","No data","No data","No data"
"Ireland","5334.9","5099.6","5045.8","4687.6","4524.1","4566.8","4382.7","4059.7","3696.4","3374.8","3128.9","2824.5","2560.3","2369.7","2105.7","1793.8"
"Israel","2819.1","2687.3","2499.5","2323.5","2194.4","2087.7","2007.1","1975.3","1971.2","1860.4","1856.6","1866.3","1779.8","1898.5","1894.0","1773.5"
"Italy","3350.6","3274.1","3267.4","3253.5","3211.9","3145.2","3106.2","3040.1","2784.2","2740.6","2516.9","2420.9","2291.7","2263.5","2175.6","2047.8"
"Jamaica","511.4","469.2","483.8","429.6","444.0","421.3","414.0","452.0","416.6","345.5","308.8","348.1","318.4","322.8","344.5","365.0"
"Japan","4405.1","4240.3","4179.2","3988.3","3778.2","3192.5","2986.1","2842.5","2713.8","2569.4","2452.8","2318.3","2191.1","2097.0","2013.0","1905.7"
"Jordan","568.1","673.5","666.1","729.9","768.5","778.8","896.8","816.8","742.5","677.2","694.2","653.8","607.5","618.2","599.6","552.5"
"Kazakhstan","903.3","891.0","842.0","839.0","719.9","790.0","758.4","663.3","555.2","586.6","567.1","493.0","413.8","363.5","314.5","324.4"
"Kenya","157.2","158.3","157.5","149.9","141.8","155.3","120.9","108.5","113.5","98.3","100.1","94.2","91.6","95.6","94.3","88.7"
"Kiribati","151.8","185.9","177.5","156.3","150.1","158.9","237.4","250.6","207.3","205.0","202.7","205.4","178.0","191.1","191.4","137.5"
