"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","30.2","38.9","37.6","30.5","29.3","20.5","31.4","23.6","16.9","20.6","15.5","8.7","5.4","11.0","No data","No data"
"Albania","5.9","3.7","8.1","12.2","8.5","11.2","15.1","8.9","17.9","14.9","12.5","11.9","14.1","No data","No data","No data"
"Algeria","0.3","0.3","0.1","0.3","0.1","0.2","0.2","0.2","0.3","0.2","0.3","0.2","0.2","0.1","0.1","0.1"
"Andorra","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Angola","5.4","6.0","5.1","3.6","4.9","5.2","8.0","5.1","4.7","9.0","5.2","3.7","1.7","0.0","0.0","0.0"
"Antigua and Barbuda","1.9","0.0","2.4","0.0","30.2","1.2","0.0","1.9","1.3","1.3","1.3","0.7","0.0","0.0","0.0","0.0"
"Argentina","8.0","6.5","7.2","7.7","5.8","5.5","4.5","13.1","2.9","3.5","12.1","5.8","3.0","2.0","0.7","0.3"
"Armenia","9.6","13.1","16.0","22.3","22.3","17.7","19.0","19.6","30.3","26.5","21.8","13.3","13.3","18.2","21.9","12.4"
"Australia","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austria","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Azerbaijan","6.1","6.1","4.2","8.8","5.4","5.8","4.7","3.4","4.2","3.4","1.4","3.1","3.6","No data","No data","No data"
"Bahamas","7.8","8.2","8.3","8.4","8.6","8.5","8.5","8.5","8.6","8.8","5.9","6.1","6.1","6.2","6.5","6.5"
"Bahrain","No data","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bangladesh","9.6","11.5","10.8","7.9","7.6","7.0","6.6","5.3","4.9","4.4","4.5","4.0","3.4","3.3","2.9","2.2"
"Barbados","22.0","21.9","21.6","4.8","31.2","22.3","27.4","29.5","30.0","11.5","11.3","16.8","4.7","2.8","2.7","2.7"
"Belarus","4.3","3.0","4.2","5.1","2.4","4.1","2.1","1.6","1.0","1.1","0.4","0.5","0.5","0.6","0.6","0.3"
"Belgium","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Belize","28.7","64.5","24.7","24.3","26.1","20.4","17.7","16.7","15.8","16.3","18.9","16.1","16.4","16.0","16.5","13.3"
"Benin","28.9","22.0","19.9","32.0","20.0","18.9","15.1","17.0","16.9","13.2","12.7","12.9","12.2","11.1","10.8","9.6"
"Bhutan","15.2","14.4","14.3","11.5","18.9","20.7","15.4","17.2","13.4","18.3","12.0","7.1","10.6","6.7","9.2","9.5"
"Bolivia (Plurinational State of)","13.9","10.5","12.4","13.7","13.5","9.9","10.6","13.6","10.1","11.9","16.1","17.7","17.4","12.4","11.0","9.6"
"Bosnia and Herzegovina","26.4","14.3","14.5","18.2","16.2","12.7","7.7","6.8","4.5","4.1","2.6","4.5","5.8","No data","No data","No data"
"Botswana","81.0","95.3","82.0","129.0","72.5","84.4","65.9","95.8","101.4","35.3","23.2","37.4","16.8","12.3","0.0","0.0"
"Brazil","10.2","7.0","4.3","14.0","5.5","5.7","4.7","2.8","3.2","3.6","2.2","8.1","2.6","5.4","5.4","5.8"
"Brunei Darussalam","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Bulgaria","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Burkina Faso","28.4","25.2","31.6","28.1","25.7","34.0","23.2","25.0","31.6","21.4","17.7","13.1","11.1","6.9","5.8","6.0"
"Burundi","25.8","30.3","38.0","28.7","29.6","45.2","29.7","20.3","20.4","20.9","16.9","12.1","6.8","No data","No data","No data"
"Cabo Verde","20.1","18.1","12.2","15.1","12.2","15.4","6.9","12.6","11.8","22.3","11.2","7.7","3.3","4.9","4.6","3.8"
"Cambodia","40.1","34.3","35.7","40.3","34.4","38.9","50.5","43.2","31.4","23.8","17.4","18.2","10.9","6.7","7.4","5.9"
"Cameroon","12.9","13.9","8.8","9.9","14.5","7.0","4.4","4.1","3.9","1.3","1.8","0.4","0.7","No data","No data","No data"
"Canada","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Central African Republic","13.9","11.9","12.2","10.8","11.9","9.2","15.0","8.0","8.7","6.9","7.4","3.1","3.8","0.0","0.0","0.0"
