"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","9.9","13.2","12.8","11.1","10.9","7.1","9.2","7.2","5.2","5.3","3.8","2.1","1.2","2.2","No data","No data"
"Albania","2.0","1.5","3.4","4.9","3.7","4.8","7.1","4.8","8.8","6.8","5.7","5.2","5.2","No data","No data","No data"
"Algeria","0.1","0.1","0.0","0.1","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"Andorra","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Angola","3.0","4.3","3.8","2.7","3.6","3.2","4.7","3.4","2.7","4.4","2.1","1.3","0.5","0.0","0.0","0.0"
"Antigua and Barbuda","1.1","0.0","1.5","0.0","19.3","0.8","0.0","1.2","0.8","0.8","0.8","0.4","0.0","0.0","0.0","0.0"
"Argentina","5.8","4.3","5.2","5.5","3.8","3.1","2.2","6.7","1.3","1.4","4.5","2.0","0.9","0.5","0.4","0.2"
"Armenia","4.0","6.2","7.7","10.7","11.2","8.7","9.0","10.8","14.4","10.2","7.5","3.9","3.5","4.7","5.8","3.3"
"Australia","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austria","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Azerbaijan","1.9","2.7","1.9","4.0","2.4","2.2","1.6","1.4","1.3","0.9","0.3","0.6","0.7","No data","No data","No data"
"Bahamas","7.8","7.8","8.0","8.1","8.2","8.3","8.5","8.6","8.8","8.9","6.1","6.2","6.3","6.5","6.6","6.7"
"Bahrain","No data","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Bangladesh","3.5","4.0","3.6","2.4","2.4","2.2","2.0","1.5","1.3","1.1","1.2","1.1","1.0","0.9","0.8","0.7"
"Barbados","20.7","20.9","21.1","4.7","31.5","23.6","30.5","31.7","32.6","12.4","12.0","17.2","4.6","2.8","2.8","2.8"
"Belarus","1.4","1.3","1.8","2.0","0.9","1.6","0.8","0.7","0.4","0.4","0.1","0.1","0.1","0.1","0.1","0.1"
"Belgium","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Belize","16.5","37.1","14.3","14.0","15.0","11.5","10.0","9.8","9.2","9.3","10.6","9.1","9.3","9.5","9.8","8.1"
