"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","9.5","8.8","8.3","6.3","7.8","7.2","7.8","7.8","5.9","5.2","5.2","4.9","5.9","0.7",,
"Albania","327.3","339.9","290.4","276.6","286.5","240.1","240.7","215.9","181.9","168.2","160.5","146.8","109.7","105.3","101.0","91.3"
"Algeria","727.8","669.1","588.2","586.6","483.3","448.3","465.2","367.9","315.8","260.3","245.9","257.3","265.7","250.2","246.2","203.2"
"Andorra","3307.4","3215.7","4057.4","2948.5","2683.8","2636.9","2532.0","2374.0","2234.1","2108.2","1966.2","1587.7","1512.2","1466.7","1324.4","1267.4"
"Angola","92.9","100.0","118.8","106.1","108.9","98.4","138.8","129.4","95.6","76.9","59.2","61.2","51.1","42.7","72.6","38.0"
"Antigua and Barbuda","735.5","851.8","688.8","651.1","712.0","720.2","656.5","751.4","661.8","598.2","517.4","429.8","443.1","414.6","410.8","389.8"
"Argentina","992.6","892.6","857.2","780.8","711.8","680.0","607.8","551.0","515.0","436.4","367.1","323.6","328.8","136.5","158.9","152.6"
"Armenia","140.6","126.4","118.1","117.9","116.9","110.9","114.5","108.6","107.0","89.1","70.2","56.0","45.1","38.2","37.9","23.9"
"Australia","0.0","2887.7","2823.5","2561.0","2609.6","2466.2","2464.5","2273.9","2202.8","2052.8","1938.1","1875.1","1734.7","1666.9","1539.5","1471.9"
"Austria","3883.6","3793.5","3679.3","3565.5","3339.1","3231.3","3159.2","3031.7","2811.4","2690.4","2516.7","2428.6",,,,
"Azerbaijan","240.9","231.6","237.5","216.3","194.4","180.1","197.3","111.5","117.8","82.6","62.0","54.8","40.1","34.4","33.0","30.4"
"Bahamas","826.1","725.3","797.2","829.4","813.3","777.1","788.9","777.2","736.2","731.9","577.8","591.2","542.7","537.2","509.1","492.1"
"Bahrain","1623.9","1394.9","1241.4","1120.5","898.6","961.9","1021.6","880.0","871.9","826.8","826.2","844.0","902.7","909.8","896.7","838.0"
"Bangladesh","12.9","11.5","11.8","14.7","13.5","12.4","10.8","10.7","11.2","10.1","8.8","9.0","8.6","8.0","6.3","7.9"
"Barbados","564.1","578.6","648.7","718.3","557.1","558.8","573.6","582.9","504.5","497.9","463.2","460.2","456.5","370.0","327.1","308.3"
"Belarus","676.4","638.2","651.1","611.8","530.4","614.9","507.8","502.2","511.2","455.6","453.8","388.7","336.2","284.5","276.5","250.7"
"Belgium","3940.9","3813.4","3690.0","3537.5","3395.9","3250.5","3129.9","2902.6","2663.3","2565.2","2462.3","2386.6","2238.8","0.0","0.0","0.0"
"Belize","347.8","280.0","305.3","286.5","287.8","296.9","291.3","251.3","238.8","203.8","185.7","170.4","167.9","146.6","148.9","115.4"
"Benin","17.0","16.6","20.9","19.3","19.8","17.7","18.1","13.6","13.8","15.8","14.4","15.1","13.2","14.0","17.4","14.4"
"Bhutan","207.0","174.8","175.7","164.8","151.4","145.2","137.1","116.7","121.6","98.1","97.3","105.2","92.9","99.1","97.2","92.9"
"Bolivia (Plurinational State of)","303.2","249.4","209.1","179.9","172.4","165.1","164.8","138.0","133.4","119.1","118.7","103.1","106.2","96.5","95.0","85.2"
"Bosnia and Herzegovina","756.8","747.3","712.2","663.8","622.6","574.2","554.9","477.1","417.9","357.8","310.6","305.7","297.5","228.8","207.2","186.5"
"Botswana","534.5","482.7","458.0","523.1","541.4","459.3","542.6","517.5","414.1","391.6","375.6","425.5","369.6","264.0","417.5","348.0"
"Brazil","594.9","600.5","567.8","516.7","519.0","509.6","490.0","464.8","435.7","411.0","366.3","360.6","340.1","350.8","323.8","312.8"
"Brunei Darussalam","1958.2","1620.3","1589.7","1408.7","1406.6","1649.5","1847.1","1470.3","1493.7","1413.4","1529.8","1701.3","1706.4","1625.6","1572.0","1545.4"
"Bulgaria","762.2","783.2","672.5","626.0","606.1","587.2","507.3","504.9","441.0","415.7","423.2","377.3","367.9","327.2","264.7","222.5"
"Burkina Faso","27.1","30.7","29.3","18.6","22.6","20.5","24.2","20.0","20.1","19.2","15.5","19.8","10.9","11.1","9.9","9.2"
"Burundi","24.7","11.3","11.4","20.0","26.5","14.9","15.2","13.8","16.5","13.6","11.8","14.9","8.5","10.1","10.3","8.8"
"Cabo Verde","210.5","207.7","180.5","189.5","171.7","161.7","156.1","140.0","157.8","149.3","136.5","130.9","122.8","123.8","118.2","105.0"
"Cambodia","43.7","40.6","42.7","40.2","34.0","33.7","28.5","24.1","21.4","14.6","24.9","31.5","30.4","18.5","14.8","14.1"
"Cameroon","23.5","17.7","20.5","20.3","33.2","23.4","21.0","16.7","16.7","18.3","18.0","19.2","22.1","21.6","18.3","14.5"
"Canada","3383.4","3309.9","3280.0","3162.4","3112.7","3068.1","2995.1","2768.6","2661.7","2537.7","2394.4","2247.1","2132.4","1989.3","1898.8","1761.7"
"Central African Republic","4.1","3.9","3.2","6.6","5.7","7.2","4.3","11.7","14.8","9.6","9.4","8.4","9.1","9.3","8.1","8.9"
"Chad","23.4","27.3","39.1","13.9","15.6","16.0","15.7","13.5","16.8","16.3","22.9","29.3","20.5","23.7","19.9","20.2"
"Chile","1156.7","1070.7","1007.3","910.7","822.9","734.1","684.8","624.4","572.5","509.6","445.5","430.7","412.4","395.2","377.0","360.5"
"China","455.6","379.0","335.1","301.2","260.6","215.3","193.3","151.0","113.0","89.7","72.5","60.1","52.1","44.4","34.3","28.8"
"Colombia","569.5","607.3","561.1","539.0","499.6","468.7","467.1","418.4","392.7","374.2","329.7","297.2","332.1","292.8","291.8","282.3"
"Comoros","16.2","14.8","15.1","13.2","24.5","10.6","11.8","15.1","15.3","16.8","17.5","18.7","20.2","21.9","14.7","18.5"
"Congo","87.6","72.9","63.2","46.4","36.8","46.0","29.7","48.9","26.8","25.9","19.9","18.7","21.0","18.1","38.5","20.6"
"Cook Islands","476.7","477.6","454.3","487.0","492.1","466.8","487.7","417.3","428.1","439.7","402.2","387.0","371.3","394.8","374.2","339.5"
"Costa Rica","977.3","915.4","919.0","861.7","836.2","755.6","688.6","635.3","551.6","498.5","425.5","413.4","413.5","392.1","351.1","339.2"
"Côte d'Ivoire","41.4","28.9","33.0","29.0","21.2","21.4","24.1","21.4","20.3","18.8","17.4","17.9","16.2","17.2","16.5","18.9"
"Croatia","1271.7","1277.7","1267.7","1342.1","1293.7","1368.6","1391.8","1361.4","1249.8","1042.8","907.9","772.0","709.5","627.7","698.2","698.2"
"Cuba","2195.9","1943.7","1445.3","1394.9","2000.9","1941.2","1449.2","1523.1","1319.4","1034.0","1106.3","603.7","575.0","551.7","532.1","491.4"
"Cyprus","910.1","901.3","971.0","970.5","1042.2","1020.6","953.7","890.7","721.0","668.4","594.1","556.6","584.2","598.5","521.7","473.1"
"Czechia","2034.4","2051.9","1991.3","1710.5","1686.9","1602.3","1680.7","1459.7","1336.3","1274.1","1218.1","1180.2","1138.2",,,
"Democratic People's Republic of Korea",,,,,,,,,,,,,,,,
"Democratic Republic of the Congo","5.6","4.6","3.9","3.8","2.4","2.5","4.1","5.7","2.2","1.1","1.3","1.3","1.1","0.6","0.5","0.2"
"Denmark","4277.2","4137.0","4036.5","3873.5","3795.6","3788.9","3648.2","3309.5","3048.7","2874.9","2603.7","2481.5","2302.9","2237.8","2083.6","1932.5"
"Djibouti","80.1","77.7","75.5","75.3","81.4","65.5","64.8","61.0","55.3","51.8","39.5","38.8","39.0","32.2","30.6","33.7"
"Dominica","398.0","372.4","335.7","361.1","295.9","335.7","323.2","297.4","280.3","260.4","234.6","224.8","227.1","215.2","212.8","210.8"
"Dominican Republic","352.2","337.4","345.6","323.7","308.9","274.4","234.7","212.9","162.9","130.6","115.7","83.1","64.2","72.5","67.7","57.4"
