"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","3.1","3.0","2.8","2.3","2.9","2.5","2.3","2.4","1.8","1.3","1.3","1.2","1.3","0.1",,
"Albania","112.5","137.3","121.1","111.6","124.5","101.9","112.2","114.7","89.9","76.2","73.2","64.2","40.2","32.2","30.1","26.7"
"Algeria","205.8","257.7","234.6","243.5","202.1","158.7","147.0","148.4","104.9","79.6","69.5","65.7","57.8","49.8","50.7","44.1"
"Andorra","2399.5","2815.8","3582.5","2576.2","2686.2","2514.5","2497.3","2503.8","2232.1","1957.0","1858.3","1498.3","1280.0","1007.6","877.0","852.4"
"Angola","51.6","71.4","89.2","79.8","79.2","60.1","81.3","87.2","53.6","37.6","24.3","21.3","14.7","11.6","13.3","7.6"
"Antigua and Barbuda","437.4","516.9","437.7","421.0","456.6","465.2","423.5","479.8","412.6","369.1","327.8","268.6","280.0","270.5","270.0","257.0"
"Argentina","712.7","594.7","613.0","550.8","461.5","383.7","301.5","281.7","221.4","169.8","136.2","111.5","99.2","36.0","99.8","99.2"
"Armenia","58.3","60.1","56.8","56.8","58.7","54.3","54.2","60.0","50.8","34.3","24.2","16.6","11.9","9.9","10.1","6.4"
"Australia","0.0","3797.3","3944.0","4083.9","4067.6","3399.4","2770.1","2821.2","2629.7","2170.5","2054.9","1884.7","1525.0","1210.4","1055.8","1116.2"
"Austria","3428.6","4001.2","3890.6","3727.3","3859.1","3597.4","3698.4","3794.3","3345.3","2903.9","2760.1","2648.5",,,,
"Azerbaijan","74.5","103.7","108.0","98.9","88.7","67.3","65.5","45.0","36.4","20.8","13.7","10.3","7.2","6.0","5.9","5.6"
"Bahamas","819.5","696.0","766.1","798.3","772.0","759.4","783.4","785.8","747.8","741.4","598.3","601.5","560.6","559.6","517.9","510.3"
"Bahrain","787.7","754.6","695.3","635.3","503.6","501.4","501.8","500.6","454.0","407.7","385.6","357.6","354.1","335.6","324.3","320.7"
"Bangladesh","4.7","4.0","3.9","4.4","4.2","3.9","3.2","3.1","3.0","2.6","2.4","2.6","2.5","2.2","1.8","2.4"
"Barbados","530.5","550.7","632.4","704.8","561.8","591.1","637.2","625.3","548.0","534.9","490.9","471.9","454.5","371.6","330.5","311.6"
"Belarus","219.4","280.3","284.4","238.8","201.5","232.6","186.6","230.1","196.1","159.1","146.8","108.8","83.0","62.8","55.1","45.1"
"Belgium","3484.3","4034.8","3946.0","3736.6","3927.2","3594.7","3691.9","3685.9","3208.5","2814.8","2730.8","2633.0","2216.3","0.0","0.0","0.0"
"Belize","200.0","161.2","176.2","164.8","165.4","167.0","164.1","147.1","138.6","115.9","104.2","96.1","95.3","87.4","88.5","70.3"
"Benin","6.3","7.4","9.6","8.5","9.0","7.5","8.1","6.3","5.7","6.1","5.6","5.8","4.7","4.1","4.8","4.1"
