"Country"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"," 2007"," 2006"," 2005"," 2004"," 2003"," 2002"," 2001"," 2000"
"Afghanistan","144.2","129.3","118.3","107.2","101.7","104.5","104.7","96.2","81.8","85.5","77.9","74.1","69.6","68.1",,
"Albania","440.4","435.7","367.2","324.0","275.9","229.9","189.1","227.7","238.1","198.4","190.9","189.1","186.2","188.1","174.3","166.8"
"Algeria","289.7","247.7","228.2","206.8","190.7","186.4","180.1","133.6","127.1","110.7","99.7","94.1","73.3","74.9","70.0","72.8"
"Andorra","2165.0","2127.1","2013.4","1937.7","1780.6","1788.9","1848.7","1928.8","2077.9","2023.9","1889.3","1773.2","1673.6","1580.2","1490.7","1460.3"
"Angola","65.3","49.6","40.9","28.6","30.2","30.6","31.7","43.5","46.7","43.6","55.6","66.6","58.7","53.0","59.3","17.4"
"Antigua and Barbuda","268.0","254.8","251.1","250.3","239.3","241.4","233.8","237.3","223.1","217.0","202.1","201.7","195.6","169.3","172.3","154.6"
"Argentina","245.0","238.4","244.9","233.7","296.6","311.2","337.5","348.2","375.7","363.3","347.7","248.3","244.3","253.3","315.0","315.9"
"Armenia","721.0","441.5","517.3","366.0","122.7","214.8","162.2","186.8","222.0","197.4","243.0","258.5","135.9","112.1","108.3","112.1"
"Australia",,"838.5","824.1","755.9","722.9","709.6","677.6","627.5","603.9","593.5","556.6","527.3","488.1","483.8","464.4","452.0"
"Austria","921.0","908.5","890.2","837.2","783.2","752.0","719.1","692.5","676.5","649.1","622.1","605.7","580.5","546.5","511.1","482.1"
"Azerbaijan","936.7","754.9","683.5","609.7","552.7","578.1","598.8","430.2","453.7","467.4","456.4","341.6","247.2","126.5","110.6","103.5"
"Bahamas","471.7","528.9","504.8","519.4","497.2","482.1","468.2","499.2","503.3","443.9","396.0","338.3","294.3","260.9","227.0","223.4"
"Bahrain","615.7","546.4","512.6","459.2","248.8","254.9","259.8","220.1","238.5","251.0","263.5","286.7","301.9","311.2","306.0","277.7"
"Bangladesh","63.2","58.2","53.4","51.1","47.8","43.1","39.0","36.2","34.1","30.1","27.1","23.4","21.5","20.2","18.6","16.9"
"Barbados","557.2","549.6","536.6","501.1","479.1","395.1","374.7","368.3","347.6","332.5","312.3","302.2","284.3","243.9","234.8","235.5"
"Belarus","374.7","331.5","329.0","270.1","218.0","169.6","231.0","227.8","187.9","155.4","132.7","97.4","89.2","90.3","76.8","51.0"
"Belgium","840.1","846.2","817.6","775.1","761.1","728.5","700.9","658.0","634.4","592.5","544.4","550.9","583.1",,,
"Belize","118.6","117.0","114.9","106.3","103.0","106.7","107.3","100.7","97.3","95.7","100.5","101.8","100.1","93.7","89.8","85.6"
"Benin","34.2","33.8","33.1","33.0","33.6","32.8","31.5","30.9","33.0","33.0","31.7","32.5","32.1","31.2","30.6","29.3"
"Bhutan","56.8","53.6","51.8","48.6","33.7","33.2","30.8","26.1","27.0","26.0","25.6","25.9","25.5","14.1","13.5","13.1"
"Bolivia (Plurinational State of)","115.6","113.5","116.4","98.9","88.0","86.1","74.8","66.0","63.9","63.4","63.2","60.1","60.0","58.2","54.7","49.5"
"Bosnia and Herzegovina","315.5","307.7","297.3","282.0","267.6","252.7","248.8","375.2","334.4","295.1","257.2","229.1","132.4","132.7","135.2","138.5"
"Botswana","51.0","47.5","46.9","46.5","39.6","40.4","38.6","32.9","29.2","31.7","35.0","41.1","46.3","49.4","51.6","53.7"
"Brazil","393.7","383.1","358.9","353.6","341.7","332.6","346.2","328.2","339.4","329.0","315.7","298.9","281.5","298.5","296.5","274.9"
"Brunei Darussalam","125.3","112.4","146.1","136.8","130.2","148.5","193.9","165.3","219.0","243.4","298.7","346.2","350.8","319.1","317.6","290.7"
"Bulgaria","711.1","676.7","614.6","587.2","497.0","457.1","414.3","382.9","334.5","316.2","274.5","247.6","229.5","218.5","205.6","150.7"
"Burkina Faso","34.7","32.2","33.9","26.0","25.3","24.8","23.5","21.1","20.1","18.7","15.4","15.0","11.7","11.9","12.6","11.9"
"Burundi","12.2","11.8","13.3","14.5","18.8","23.9","24.6","24.2","26.6","26.5","24.2","16.9","16.9","17.6","16.9","18.4"
"Cabo Verde","71.9","79.3","71.5","70.3","66.8","71.8","52.9","50.0","51.0","54.2","48.7","43.9","40.7","40.0","37.8","37.2"
"Cambodia","124.4","128.0","130.7","125.6","119.2","88.7","89.6","79.4","52.4","63.1","73.2","60.9","58.5","55.1","51.6","49.0"
"Cameroon","113.6","107.2","102.5","97.9","51.9","93.0","91.7","100.5","87.5","82.9","80.6","77.7","75.8","71.9","69.8","66.5"
"Canada","670.9","651.3","642.3","622.8","621.2","651.9","613.5","584.4","567.8","553.2","503.8","470.1","444.6","436.8","415.3","401.5"
"Central African Republic","12.6","12.7","10.7","16.1","15.5","15.1","14.6","14.3","14.9","14.8","14.6","14.9","13.8","13.7","13.1","12.9"
"Chad","56.2","52.3","49.7","45.9","44.3","51.9","49.2","46.8","46.5","49.7","43.6","43.4","30.5","48.9","30.2","27.3"
"Chile","613.6","580.2","551.4","507.1","477.5","428.7","405.6","414.3","408.1","383.9","357.5","340.1","337.8","317.9","304.8","289.4"
"China","246.9","231.4","218.8","199.2","176.6","156.8","155.2","138.3","127.7","128.4","121.2","110.5","104.6","96.2","86.4","77.9"
"Colombia","156.0","147.6","120.1","121.7","119.2","128.2","134.3","143.5","120.6","101.2","81.6","60.2","35.0","43.3","50.6","47.5"
"Comoros","90.6","92.8","93.8","93.8","94.3","95.0","97.7","100.7","104.1","105.2","105.4","102.6","103.4","106.8","109.7","116.8"
"Congo","88.9","54.3","54.8","42.6","40.7","43.4","51.9","37.7","42.7","38.8","41.2","45.8","49.3","43.7","39.9","31.7"
"Cook Islands","41.4","37.5","37.4","35.8","35.7","30.9","29.3","38.3","33.0","32.7","27.2","32.4","30.0","25.7","24.3","26.0"
"Costa Rica","276.4","288.9","263.1","271.6","281.3","262.3","253.5","273.4","254.7","231.7","215.4","198.3","189.4","177.8","167.4","163.0"
"Côte d'Ivoire","68.3","87.5","86.0","88.4","91.4","94.1","96.2","96.3","100.0","88.6","77.2","66.8","55.7","50.4","62.5","77.5"
"Croatia","251.1","246.2","190.7","188.7","194.4","223.6","224.8","232.9","178.8","162.0","141.5","173.1","143.3","146.1","120.7","112.4"
"Cuba","281.4","250.0","262.7","241.1","230.9","176.9","173.3","170.4","172.4","172.3","164.4","147.8","146.9","132.9","122.6","82.0"
"Cyprus","937.8","922.4","908.2","942.1","948.8","866.8","1110.4","1091.0","868.9","799.5","757.6","704.3","655.5","702.1","679.7","634.5"
