"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","47.1","43.9","40.3","38.9","37.8","36.0","30.8","29.2","24.9","21.8","19.3","17.7","15.1","13.9",,
"Albania","151.4","176.0","153.2","130.7","119.9","97.6","88.1","120.9","117.7","89.9","87.0","82.6","68.2","57.6","51.9","48.8"
"Algeria","81.9","95.4","91.0","85.9","79.8","66.0","56.9","53.9","42.2","33.9","28.2","24.0","15.9","14.9","14.4","15.8"
"Andorra","1570.7","1862.6","1777.8","1693.0","1782.2","1705.9","1823.4","2034.2","2076.1","1878.8","1785.6","1673.3","1416.6","1085.7","987.1","982.2"
"Angola","36.2","35.4","30.7","21.5","22.0","18.7","18.6","29.3","26.2","21.3","22.8","23.2","16.8","14.4","10.9","3.5"
"Antigua and Barbuda","159.4","154.6","159.5","161.8","153.5","155.9","150.8","151.5","139.1","133.9","128.0","126.1","123.6","110.4","113.2","101.9"
"Argentina","175.9","158.8","175.1","164.8","192.3","175.6","167.4","178.0","161.5","141.4","129.0","85.6","73.7","66.8","197.9","205.2"
"Armenia","298.8","210.1","248.6","176.3","61.6","105.3","76.8","103.1","105.5","76.0","83.7","76.4","35.8","29.1","28.8","30.1"
"Australia",,"1102.6","1151.1","1205.4","1126.7","978.1","761.6","778.6","721.0","627.5","590.1","530.0","429.1","351.3","318.5","342.8"
"Austria","813.0","958.2","941.3","875.2","905.2","837.2","841.8","866.7","805.0","700.6","682.3","660.6","582.6","462.8","421.1","403.4"
"Azerbaijan","289.6","338.1","311.0","278.6","252.2","216.2","198.9","173.8","140.1","117.6","100.5","64.3","44.2","22.0","19.7","19.2"
"Bahamas","467.9","507.6","485.1","499.9","471.9","471.1","465.0","504.8","511.2","449.6","410.0","344.2","304.0","271.7","230.9","231.6"
"Bahrain","298.7","295.6","287.1","260.4","139.4","132.9","127.6","125.2","124.2","123.8","123.0","121.5","118.4","114.8","110.7","106.3"
"Bangladesh","22.9","20.2","17.7","15.3","14.9","13.6","11.7","10.3","9.1","7.8","7.3","6.7","6.2","5.6","5.3","5.1"
"Barbados","524.0","523.2","523.2","491.6","483.1","418.0","416.3","395.1","377.6","357.2","330.9","309.9","283.1","244.9","237.3","238.0"
"Belarus","121.5","145.6","143.7","105.4","82.8","64.1","84.9","104.4","72.1","54.3","42.9","27.3","22.0","19.9","15.3","9.2"
"Belgium","742.8","895.3","874.3","818.7","880.2","805.7","826.7","835.6","764.3","650.2","603.8","607.8","577.2",,,
"Belize","68.2","67.3","66.3","61.2","59.2","60.0","60.4","58.9","56.5","54.4","56.3","57.4","56.8","55.8","53.4","52.2"
"Benin","12.7","15.1","15.1","14.6","15.2","14.0","14.1","14.3","13.7","12.8","12.3","12.5","11.4","9.2","8.4","8.3"
"Bhutan","18.0","17.4","16.6","16.4","12.2","11.5","9.6","8.7","9.2","8.0","7.9","7.6","7.2","3.8","3.6","3.6"
"Bolivia (Plurinational State of)","51.1","53.2","54.4","44.4","37.4","32.2","26.0","23.0","19.0","17.6","15.8","14.9","14.7","14.6","14.7","14.3"
"Bosnia and Herzegovina","123.5","142.6","138.4","130.8","136.6","125.1","129.8","211.5","171.3","136.1","118.3","103.9","54.8","45.7","43.5","44.8"
"Botswana","20.5","21.2","20.5","25.1","21.8","19.6","16.6","14.0","13.4","15.0","18.1","20.7","20.7","17.0","19.4","21.8"
"Brazil","220.8","284.6","274.6","282.3","300.5","262.0","224.1","217.4","198.5","166.2","137.5","104.1","88.9","88.8","101.4","114.0"
"Brunei Darussalam","48.8","58.3","79.6","78.1","74.3","66.4","70.4","79.8","89.9","96.2","105.5","104.7","91.2","77.6","78.1","80.5"
"Bulgaria","272.7","305.3","283.5","267.3","247.7","209.1","203.8","194.2","153.9","125.4","104.1","91.4","74.5","59.0","52.4","38.2"
"Burkina Faso","12.1","13.5","14.7","11.3","11.5","10.2","9.9","9.2","7.7","6.6","5.6","5.4","3.9","3.3","3.3","3.2"
"Burundi","4.6","4.4","4.6","4.8","6.3","7.4","6.8","6.5","6.5","6.5","5.6","3.4","3.1","3.4","3.7","4.2"
"Cabo Verde","33.8","44.8","41.2","39.3","40.9","41.6","32.4","31.9","29.9","27.5","24.1","22.8","21.1","16.8","15.4","15.2"
"Cambodia","41.3","42.7","43.8","41.8","39.6","28.2","28.3","25.1","15.1","17.3","19.8","16.3","15.5","14.9","14.0","13.6"
"Cameroon","44.4","50.5","48.0","44.1","25.0","42.3","43.1","48.4","38.8","34.2","32.7","31.6","28.4","22.8","20.7","20.4"
"Canada","657.4","728.0","762.5","775.8","778.4","772.7","644.8","676.0","641.3","587.8","504.5","445.4","389.1","342.2","327.2","331.9"
"Central African Republic","6.6","7.5","5.8","8.1","8.4","7.8","7.8","7.8","7.3","6.7","6.6","6.5","5.9","4.9","4.7","4.8"
"Chad","20.1","24.5","23.6","22.4","23.5","24.7","23.3","26.1","22.7","22.1","18.0","14.4","8.6","11.8","6.9","5.8"
"Chile","355.3","368.9","385.6","362.0","343.6","300.3","255.4","272.0","254.7","233.3","213.1","179.4","150.1","137.8","140.1","153.6"
"China","137.8","132.3","125.2","111.2","95.8","76.6","71.1","62.9","50.1","45.8","41.7","37.4","34.0","31.1","28.2","25.5"
"Colombia","68.5","87.4","75.8","79.6","75.0","75.0","67.4","77.0","58.1","41.9","33.5","21.4","10.8","14.7","18.0","17.8"
"Comoros","43.8","52.5","52.6","51.0","55.3","52.8","55.5","58.6","54.9","50.4","50.0","50.0","45.6","38.0","36.2","37.4"
"Congo","25.8","27.1","29.5","23.4","24.9","23.4","24.6","23.9","20.6","17.5","16.0","15.1","13.0","10.2","9.2","8.9"
"Cook Islands","36.9","40.0","38.3","34.5","34.2","27.9","21.8","30.9","25.9","22.7","20.1","23.0","19.2","13.0","10.8","11.6"
"Costa Rica","199.6","202.7","191.4","191.9","192.9","168.9","142.2","153.3","133.1","113.6","103.1","94.5","89.8","86.0","81.9","79.3"
"Côte d'Ivoire","27.2","41.3","41.1","40.4","44.2","43.6","44.9","46.6","42.5","34.4","30.1","26.5","21.2","15.6","17.5","21.3"
"Croatia","129.1","150.7","119.3","118.1","136.3","157.1","163.2","182.7","129.1","108.6","97.3","115.0","85.2","72.0","55.8","51.4"
"Cuba","93.8","82.5","86.5","78.5","74.9","55.7","54.6","53.8","55.6","55.1","49.1","45.4","46.1","41.3","37.0","25.2"
"Cyprus","686.1","827.3","828.0","855.6","921.6","802.2","1051.1","1107.8","826.8","712.4","680.7","642.0","545.7","469.9","431.9","419.6"
