"Country","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Afghanistan","47.1","43.9","40.3","38.9","37.8","36.0","30.8","29.2","24.9","21.8","19.3","17.7","15.1","13.9",,
"Albania","151.4","176.0","153.2","130.7","119.9","97.6","88.1","120.9","117.7","89.9","87.0","82.6","68.2","57.6","51.9","48.8"
"Algeria","85.7","100.1","95.6","90.3","84.0","69.6","60.3","57.6","45.3","36.6","30.7","26.3","17.5","16.3","15.8","17.2"
"Andorra","1916.2","2272.4","2168.9","2065.4","2174.3","2081.2","2224.6","2481.8","2532.8","2292.2","2178.4","2041.4","1728.3","1324.5","1204.2","1198.2"
"Angola","54.0","56.1","50.8","39.9","39.5","33.4","34.1","44.8","36.3","32.3","31.0","29.5","21.5","18.6","14.0","6.3"
"Antigua and Barbuda","218.7","214.6","216.3","219.2","207.6","206.8","194.4","195.6","183.7","174.9","161.2","155.4","153.3","136.2","139.3","124.1"
"Argentina","279.5","246.1","302.7","308.2","341.6","311.8","273.0","278.9","242.5","208.9","185.9","137.2","117.9","101.4","302.8","319.0"
"Armenia","303.8","214.9","253.4","179.8","63.3","106.4","77.2","103.5","105.7","76.1","83.9","77.6","36.8","29.9","29.5","30.8"
"Australia",,"1840.2","1894.4","1963.1","1809.3","1553.4","1227.4","1267.6","1164.5","1007.0","949.2","872.9","716.0","553.4","502.4","516.2"
"Austria","1107.5","1299.4","1270.6","1181.8","1217.2","1127.3","1139.2","1164.9","1076.7","936.2","915.9","904.3","786.6","626.6","569.9","553.7"
"Azerbaijan","292.0","340.9","313.5","280.9","254.3","217.9","200.5","175.2","141.0","118.2","100.8","64.5","44.3","22.1","19.8","19.3"
"Bahamas","858.2","931.5","890.7","916.6","864.8","864.7","853.9","926.4","937.7","860.6","768.4","685.2","646.1","611.3","567.4","567.3"
"Bahrain","402.3","416.4","370.1","336.9","190.8","179.5","166.2","157.3","150.3","148.7","146.9","144.2","152.9","152.8","148.3","146.0"
"Bangladesh","23.7","20.9","18.3","16.0","15.6","14.1","12.2","10.8","9.6","8.2","7.7","7.0","6.5","5.9","5.5","5.3"
"Barbados","609.0","608.0","608.0","570.8","556.7","487.9","486.2","466.1","448.1","426.9","394.1","366.3","332.0","297.6","290.8","290.5"
"Belarus","131.0","155.4","158.0","116.5","91.6","72.1","97.2","118.9","82.9","63.0","50.1","32.9","26.1","23.6","18.6","12.2"
"Belgium","744.0","896.5","875.6","820.0","881.6","806.8","827.9","836.7","765.3","651.0","604.8","608.9","578.1",,,
"Belize","84.7","82.5","81.6","75.6","73.5","74.0","71.6","68.7","64.9","61.3","59.9","61.0","60.5","57.7","55.3","54.2"
"Benin","14.3","17.1","17.1","16.4","17.0","15.6","15.8","16.1","15.2","14.2","13.7","13.8","12.6","10.1","9.3","9.2"
"Bhutan","19.0","18.4","17.6","17.4","12.5","11.8","9.9","9.0","9.3","8.1","8.1","7.8","7.4","4.1","4.1","3.8"
"Bolivia (Plurinational State of)","56.9","58.6","59.3","48.8","41.4","35.5","29.3","25.9","21.6","20.2","18.2","17.0","16.8","16.6","16.9","16.2"
"Bosnia and Herzegovina","124.7","143.8","139.6","131.9","137.8","126.5","131.4","211.5","171.3","136.1","118.3","103.9","54.8","45.7","43.5","44.8"
"Botswana","142.3","139.5","141.8","146.6","133.5","116.8","89.0","60.7","62.9","66.8","74.6","71.2","68.1","49.5","49.3","53.6"
"Brazil","441.0","562.8","538.2","537.1","568.0","489.0","399.8","395.1","343.7","274.6","223.1","167.6","142.8","140.3","157.4","180.9"
"Brunei Darussalam","48.8","58.3","79.6","78.1","74.3","66.4","70.4","79.8","89.9","96.2","105.5","104.7","91.2","77.6","78.1","80.5"
"Bulgaria","279.8","313.0","290.9","273.5","254.5","216.1","209.8","199.5","158.4","129.2","107.3","93.8","76.3","59.9","52.4","38.2"
"Burkina Faso","14.1","16.1","16.6","12.7","12.8","11.4","11.6","10.1","8.3","7.0","6.1","5.8","4.4","3.7","3.6","3.5"
"Burundi","5.0","4.8","5.0","5.3","6.8","7.6","9.5","9.3","8.4","8.7","7.5","3.8","4.2","5.9","6.4","7.2"
"Cabo Verde","37.5","49.4","45.7","43.5","45.4","45.5","33.8","33.1","30.9","28.5","25.0","23.7","21.8","17.4","15.9","15.7"
"Cambodia","41.7","42.8","43.8","42.3","40.1","28.7","28.7","25.6","15.4","17.6","20.1","16.6","15.8","15.1","14.3","13.8"
"Cameroon","49.4","56.3","53.5","49.1","25.6","45.1","46.1","51.4","41.5","36.3","34.6","33.6","30.3","24.5","22.2","21.8"
"Canada","1192.3","1329.2","1393.0","1404.5","1392.1","1350.8","1142.7","1186.4","1119.2","1013.6","884.9","784.5","685.1","592.6","558.5","542.4"
"Central African Republic","7.3","8.3","6.4","9.0","9.3","8.6","9.4","9.2","8.0","7.2","7.1","7.1","6.4","5.3","5.1","5.2"
"Chad","21.9","26.8","25.8","24.3","25.6","26.7","25.5","28.2","24.5","23.8","19.4","15.5","9.4","12.5","7.3","6.0"
"Chile","432.2","447.2","468.8","433.4","403.7","356.9","307.2","316.7","292.7","262.7","236.2","201.5","167.8","153.0","155.4","167.5"
"China","171.2","159.4","147.1","130.4","112.5","93.4","85.6","76.9","62.2","54.7","49.9","45.6","41.3","37.3","34.1","33.1"
"Colombia","109.3","139.6","128.1","128.4","115.3","109.7","94.7","103.2","79.1","57.7","49.9","34.6","22.3","25.7","29.6","29.3"
"Comoros","44.8","53.7","53.8","52.2","56.5","53.9","56.6","59.7","55.9","51.3","50.9","50.8","46.2","38.5","36.7","37.8"
"Congo","26.8","28.1","30.0","23.8","25.4","24.1","25.4","24.9","21.3","18.0","16.4","15.5","13.2","10.5","9.4","9.2"
"Cook Islands","36.9","40.0","38.3","34.5","34.2","27.9","21.8","30.9","25.9","22.7","20.1","23.0","19.2","13.0","10.8","11.6"
"Costa Rica","223.1","225.7","207.9","203.3","202.2","177.5","150.7","162.5","141.8","120.9","110.3","97.1","94.8","89.5","83.8","83.3"
"Côte d'Ivoire","39.1","50.7","50.1","50.0","54.1","54.4","55.6","57.6","52.1","42.7","38.2","34.5","28.5","21.6","23.1","26.9"
"Croatia","197.8","223.6","195.6","189.3","223.7","163.7","170.2","190.5","134.6","113.2","101.4","119.9","88.9","77.1","64.8","51.4"
"Cuba","93.8","82.5","86.5","78.5","74.9","55.7","54.6","53.8","55.6","55.1","49.1","45.4","46.1","41.3","37.0","25.2"
"Cyprus","876.5","1023.7","1019.7","1047.4","1127.5","1002.4","1202.2","1252.3","955.6","836.6","794.7","750.9","637.3","489.9","451.1","438.2"
